#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-25T10:51:43 [V7.5.3]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO service_protocol=ASU   IVOID of the protocol through which the data was retrieved
#INFO request_date=2025-11-25T10:51:43   Query execution date
#INFO request=https://vizier.cds.unistra.fr/viz-bin/asu-txt?-source=I/355/gaiadr3&-c=M45&-c.rm=120&-c.geom=r&-out=RA_ICRS,DE_ICRS,Gmag,Source&-out.max=5000&Gmag=&lt;14   Full request URL
#INFO contact=cds-question@unistra.fr   Email or URL to contact publisher
#INFO server_software=7.5.3   Software version
#INFO publisher=CDS   Data centre that produced the VOTable
#INFO -c=056.658333+24.178056,rm=120. 
#Constraint Gmag=<14

#RESOURCE=yCat_1355
#Name: I/355
#Title: Gaia DR3 Part 1. Main source (Gaia Collaboration, 2022)
#INFO ivoid=ivo://cds.vizier/i/355     IVOID of underlying data collection     
#INFO creator=Gaia collaboration     First author or institution     
#INFO cites=bibcode:2022yCat.1355....0G     Bibcode of the dataset     
#INFO original_date=2022     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/355     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.1355     Dataset identifier that can be used for citation     
#INFO publication_date=2024-12-12     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Coosys H_2016.000: ICRS     
#Table I_355_gaiadr3:
#Name: I/355/gaiadr3
#Title: Gaia DR3 source catalog (1811709771 sources)
#---Details of Columns:
    RA_ICRS (deg) (F15.11) Right ascension (ICRS) at Ep=2016.0 (ra) [ucd=pos.eq.ra;meta.main]
    DE_ICRS (deg) (F15.11) Declination (ICRS) at Ep=2016.0 (dec) [ucd=pos.eq.dec;meta.main]
    Gmag (mag)    (F9.6)  ? G-band mean magnitude (phot_g_mean_mag) [ucd=phot.mag;em.opt]
    Source        (I19)   Unique source identifier (unique within a particular Data Release) (source_id) [ucd=meta.id;meta.main]
--------------- --------------- --------- -------------------
                                G                            
RA_ICRS (deg)   DE_ICRS (deg)   mag (mag) Source             
--------------- --------------- --------- -------------------
057.21039805483 +22.25142429046 12.936065   63962925011480832
057.27995265424 +22.26232177445 13.716970   63964230681530880
057.29671702077 +22.29088032014 13.153685   63964711717861888
056.66869837120 +22.20716305943 12.675403   63995704201931392
056.59667056728 +22.18940869729 13.858611   63996700634353536
056.53802683553 +22.27709442309 12.659957   63999655571747712
056.90505842470 +22.19452155030 12.854356   64005737245693312
056.81881448106 +22.21810471563 13.371726   64006390080551040
056.84689444036 +22.24435427602 13.896054   64006905476619776
056.94329119344 +22.20991823836 13.005833   64007042915571328
056.96613187317 +22.22434007084 12.041826   64007176058209280
056.95444358238 +22.24099118300 12.462260   64007386512950528
056.95325127238 +22.25267124626 13.806805   64007489592164352
056.91981635720 +22.29436310786 12.262508   64008520384312192
056.95677159396 +22.30765185951 13.050112   64008829621952256
057.15049039348 +22.27695185026 12.177458   64010100932261120
057.04975193347 +22.27237637559 13.826710   64010616328346496
057.06152004089 +22.27024631447 12.907900   64010650688083968
057.11142149874 +22.29222847426 13.787912   64011097364675456
057.22421910722 +22.29492289170 13.531954   64011475321786752
057.17852173173 +22.35861604445 11.771822   64012879774774656
057.19939135971 +22.37278584694 13.972175   64013296387910400
057.19603726546 +22.39445153915 13.732414   64013399467122432
057.06876439455 +22.29146652906  9.987909   64013708704795136
057.05631645032 +22.31400947855 11.209731   64013807487711360
057.08963412350 +22.34400179346 13.270476   64014327180074496
057.07256115075 +22.37856782834  8.193995   64015392331960320
057.04179827276 +22.41964594159 11.996121   64015735929340288
056.74457973768 +22.25400728840 10.120364   64019103183747712
056.74445466044 +22.25609893407 12.684971   64019274982439296
056.84257141310 +22.34706240667 12.444931   64021469708946688
056.79732635027 +22.33758124399 12.323789   64021542725156608
056.87006885995 +22.37642310569 13.977068   64021920682268416
056.88033161498 +22.38390685896 12.031314   64022019464759936
056.69696519448 +22.31174726308 12.410802   64022573517317888
056.73595357735 +22.34042679695 12.543985   64023020193909632
056.71451212142 +22.36086503399 12.353933   64023290775079808
056.68296778399 +22.36043255204 11.932250   64024012329585664
056.71048009744 +22.39156978777 11.053731   64024252847753472
056.84417802148 +22.41908991201 12.204487   64025249280165632
056.73411475943 +22.46215779487 12.882362   64026181289763456
056.81222853963 +22.46990147095 10.543871   64026387448245888
056.79078014520 +22.46769984433 13.882590   64026421807986432
056.75619235955 +22.46213569722 13.739577   64026490527467264
056.95013785228 +22.36173210387 12.280363   64026765405373824
056.96380609077 +22.43029387924 13.650672   64027658758558464
056.89684614156 +22.43021668372 12.905809   64028169857926528
056.88389870903 +22.43158657517 13.278570   64028242874117632
056.96951012102 +22.47486533875 11.312323   64028655190963328
057.09534601552 +22.52591116885 12.329717   64029960861005184
057.01684876323 +22.50064031154 13.392744   64030201379183232
057.03985962242 +22.52661229604 12.693840   64030613696038400
057.05650592653 +22.53698055326 12.950936   64030751135406080
057.08351799572 +22.54835923256  9.482281   64030785494724736
057.06850221014 +22.54442034836 13.927300   64030785494725632
057.03363831507 +22.55883557366 11.008776   64031026012894720
057.03571941563 +22.55711208083 11.977260   64031026012894848
057.04971872736 +22.57722169528 10.686097   64031129090435200
057.04958655669 +22.57695747043 12.315705   64031129092108032
056.85113967765 +22.45578978672 12.956608   64031438329784320
056.88339259822 +22.57065647994 13.987143   64033259395898496
056.94174658693 +22.52203628769 13.230971   64033431194592384
056.93566010507 +22.58101494319 12.588067   64034595129013888
056.95523398487 +22.62783891363 13.609680   64035217900973952
057.54472130894 +22.40058238772 12.477785   64057375635788160
057.46084413606 +22.34778028362 13.525722   64058273287240832
057.46838790182 +22.49513918497 12.871878   64061881059750912
057.69386296639 +22.45783095962 13.880294   64063014931106432
057.76989821983 +22.51675038424 12.328044   64065072217210880
057.72446938728 +22.54786534592 12.364640   64066107307543296
057.54943347686 +22.44600103999 13.573260   64066416545216000
057.53117674709 +22.47280818024 12.098069   64066691423120640
057.55840939912 +22.49688843312 13.613107   64066828862567168
057.56297539308 +22.54525265393 11.997890   64068306330812544
057.62727905725 +22.54092212254 13.943317   64068821726882944
057.70954751486 +22.61777223962 12.082592   64069612000847232
057.57558689436 +22.59281366896 13.546577   64069989957983488
058.02431902278 +22.67012330366  7.400138   64085383120724864
058.09554064890 +22.72973244186 12.935308   64086001596001792
057.90734416644 +22.64873116091 12.963688   64091018117830144
057.94210437723 +22.67863620374 11.857768   64091460497061504
057.78819151646 +22.67073416447 13.384028   64093698177429504
057.73318843716 +22.66300642249 13.330253   64094007415079296
057.72647075253 +22.71452637617 13.575905   64094763329317120
057.81736029748 +22.69238070869 10.277489   64095003847482240
057.83144672867 +22.70819205544 13.773258   64095038207216128
057.91274273727 +22.75007466973 11.850179   64095656682494720
058.06538722149 +22.75824881440 10.612674   64097924425760896
058.00855135710 +22.79450253543 10.827219   64099195735532160
058.07275461011 +22.77435914549 13.401174   64099608052390656
057.85075065439 +22.83366485037 13.208101   64102975306760320
057.84931304842 +22.84127295815 13.666987   64103009666497024
057.88399551445 +22.84071980911 11.725410   64103044026233216
057.92331415127 +22.86264090669 13.291896   64103284544394752
058.06065905837 +22.88570373467 12.909056   64104315336530688
058.02181379784 +22.92440599910 11.391295   64104654636588928
057.29790467970 +22.36468560360 13.537220   64105998963698944
057.42096181532 +22.47548285073 13.668664   64108369785627392
057.37902835763 +22.45749890901 13.136080   64108404145372672
057.43338491500 +22.48778950763 13.981737   64108747742746880
057.44906076975 +22.51987632355 13.515163   64109125699862016
057.42515409463 +22.52112393511 13.451746   64109160059602944
057.32626015891 +22.50952453900 13.264467   64109606736211072
057.40917152308 +22.53328562480  7.004360   64109915973846528
057.39774535467 +22.56042069475 11.409164   64110190851747968
057.17901761387 +22.47195672992 13.013140   64110671888115840
057.18250227607 +22.48345821636 13.211871   64111462162097152
057.22945535065 +22.54394392817  9.996319   64112183716592384
057.21521518907 +22.57608889220 13.367789   64112492954233344
057.35885143919 +22.60420087482 12.396522   64113523746365952
057.29700152038 +22.60925800573  7.705960   64114245300877184
057.32638940413 +22.63528989603 13.481757   64114417099561600
057.51517110766 +22.59135971039  7.165409   64115585330656000
057.51106350757 +22.61489004005 11.708746   64115757129343872
057.48725214543 +22.66088197593 12.728262   64116891000701440
057.53682587439 +22.63329562256 11.981918   64117268957823872
057.63484531260 +22.65042072280  9.690814   64117608257168640
057.58198757748 +22.67816111473  9.356115   64117848780835328
057.58174407485 +22.67816462581  9.265724   64117853073517440
057.58035415379 +22.68337699834 12.973947   64118608987606912
057.59284027537 +22.72722213929 13.086842   64118815146030976
057.42427036452 +22.67730051903 11.878320   64119983377159424
057.42932969547 +22.66377470205 12.243969   64119983377161600
057.50707786458 +22.75308610368 13.799814   64122182400393600
057.50318457564 +22.75062028833 13.650444   64122182400547200
057.41934832313 +22.76640036652 12.366303   64122903954903552
057.15927920446 +22.54909560324 13.407835   64123694228950528
057.12355320078 +22.59646469094 12.632069   64125171697696128
057.13264625744 +22.66458024364 12.912434   64125687093760000
057.23959497926 +22.63921332066 13.485046   64125961971660928
057.18443211145 +22.62316890852 11.734558   64126065050884224
057.26849644172 +22.65155543678 13.717074   64126305569628672
057.25433596198 +22.64475764276 13.951409   64126339928779136
057.10733737809 +22.65139298708 11.105535   64128607671525376
057.04866624372 +22.72170468382 13.231432   64129982061054336
057.03035786403 +22.72054166771 12.965582   64130050780532352
057.15691851053 +22.76911351203 13.846435   64131150292139648
057.16835605503 +22.78853121859 12.408488   64131940566116736
057.14769556865 +22.80119089794 13.865434   64132009285593216
057.12977326262 +22.79198417693 13.719216   64132181084288768
057.30603747306 +22.70955549320 12.673043   64132524681670528
057.26243710836 +22.71047784616 12.227454   64132662121225600
057.30071273235 +22.72626980759 10.803247   64132730840694528
057.35420521742 +22.72920524864 12.919383   64132902638782592
057.37877858814 +22.80262140787 12.730491   64134895503591680
057.34858406038 +22.84885315952 13.853737   64136029374954368
057.22798629270 +22.79917992661  8.095024   64136922728171008
057.19499412563 +22.80490070160 13.310815   64137094526865920
057.26635884119 +22.84734368199 12.215094   64137713002140672
057.25724525393 +22.85024862608 11.664197   64137747361879552
057.24369413119 +22.89583224542 13.415359   64140083824083200
057.31607718840 +22.95746767974 13.959776   64140771018836992
057.68349289336 +22.70364531536 13.258777   64141252055333760
057.58602868695 +22.74558077843 13.725241   64142489005764736
057.61551972112 +22.75827449736 13.508286   64142626444714240
057.65660159854 +22.76926405384 12.363290   64142763883814784
057.65867302850 +22.78036780504 12.444506   64142866963559040
057.73875936069 +22.75777804262 13.794103   64143313639623296
057.72058325347 +22.78836201688 12.410769   64143588517528576
057.76153578174 +22.82526706786 13.751677   64144138273332992
057.76543490513 +22.84038959295 11.900033   64144241349753856
057.71789406900 +22.85781778876 13.937202   64145237784958848
057.70917479753 +22.87813389884 11.886590   64145306504433920
057.60518442403 +22.81166028155 13.169442   64146131138020736
057.59758457493 +22.83732642112 11.785687   64146371656184320
057.54803636005 +22.82366423534 13.028696   64146749613466496
057.49785497734 +22.83043202060 13.623113   64146955771747584
057.53191776178 +22.85880751640 12.388493   64147127570432000
057.56677355632 +22.84472128766 13.810405   64147161930168576
057.58273419949 +22.85613750160 10.979191   64147196289902848
057.55413561189 +22.85935248199 13.999993   64147436808074112
057.65196843779 +22.84994443574 12.356858   64147780405449344
057.67850590087 +22.85328514229 12.208459   64147849124924288
057.68706695242 +22.91679080956 12.592218   64148566381428096
057.66227703224 +22.91248837355 12.885052   64148605039162368
057.69189073172 +22.93047700918 12.548470   64148738180119680
057.62925850444 +22.94786727550 13.823075   64149635831309952
057.82775114749 +22.87258692338 12.508558   64150215649665792
057.81813121334 +22.87762613554 10.846342   64150219947012224
057.75382912315 +22.93148415098 13.752925   64154343115613056
057.76535767898 +22.97922877844 13.723855   64155133389434368
057.76740647105 +23.05603360689 13.308072   64157882168495232
057.49025666236 +22.84717571903 12.037742   64158741162005504
057.48674470493 +22.88030560172 11.016508   64159119119122944
057.56675731029 +22.93168304440 13.926127   64160974544979072
057.55147542343 +23.01333931459 13.919196   64162623812409344
057.59552134116 +23.02639552742 13.208415   64162692531880320
057.55191021470 +23.02680489458 13.390268   64162829970992256
057.41861700481 +22.94861077343 13.738749   64163242287719936
057.40476607530 +22.94748897125 12.162427   64163311007198720
057.39983246424 +22.97908304701 13.973437   64163551525361408
057.39008524966 +22.98392686816 13.934404   64163620244838272
057.31470568903 +22.98539901253 12.097866   64164543659509888
057.54928696530 +23.08062907469 13.492454   64166094145975808
057.49993110771 +23.06329396186 13.444599   64166128505719680
057.42714761157 +23.05274307643 13.737009   64166472103111168
057.41477781194 +23.05509869419  8.454440   64166678261542016
057.44939284655 +23.09744109650 13.870478   64166850060224512
057.42142924739 +23.10057245697 13.911547   64166884419964672
057.64249161149 +23.09092317981 12.310968   64169220882160128
057.63906611604 +23.09940377202 13.895119   64169427040589824
057.72519166257 +23.15335203042 10.887871   64170973225594752
057.72512927502 +23.15320230611 10.923901   64170973228807680
057.58886377465 +23.09614480790 11.168620   64172038380708224
057.58347642172 +23.14721640407 13.416101   64172725575471488
057.55690795984 +23.20059937869 13.729256   64173859446834816
057.54164588647 +23.20714204106 13.319348   64173928166660864
057.65768232144 +23.21346901507 13.693269   64174512281856256
057.65516326712 +23.21993715908 12.747565   64174615361070976
057.68194725069 +23.24226819906 12.807703   64175023379910528
057.64549079865 +23.24180232383 13.861651   64175371275313280
057.65113351236 +23.24368422610 12.786486   64175749232434688
057.63744947046 +23.25589286623 13.003665   64175817951911168
057.68176956728 +23.29284806215 11.296809   64175989750599424
055.90927289004 +22.32277420031 13.617473   64387302139810560
055.85945517898 +22.36292909600 13.799942   64434581139803904
055.74906772614 +22.42406753171 13.361495   64438841747360768
055.64891634159 +22.43240112974 13.605970   64439421566479872
055.65348291149 +22.42854927817 10.396829   64439425863252352
055.64921252143 +22.43548870396 12.675480   64439455926217984
055.56932692746 +22.47609438760 13.333945   64450867655793408
055.55397998325 +22.48830857410 13.243588   64451073814223360
055.54264522757 +22.49816112694 12.856671   64451142533699840
055.60393917022 +22.50026658324 13.872593   64452482563492736
055.61071542596 +22.53166144147 11.546032   64453101038781184
055.60937760977 +22.54949784369 13.673768   64453169758257280
055.48379055419 +22.50281260090 13.023596   64454200550365696
055.55982196441 +22.52922029714 13.532258   64455609299683712
055.51874993737 +22.53930414234 10.794374   64455849817805824
055.57908747395 +22.56576979284 13.996820   64456193415188352
055.57979138245 +22.62427183883 13.859910   64457396004586752
055.37063654698 +22.60022494757 13.010079   64644141184061952
055.37355586811 +22.65978023401 13.761892   64644656580133504
055.40330335978 +22.69305377101 12.142733   64646267191441536
055.47521058783 +22.70629737018 13.715729   64646546365736192
055.27302370480 +22.65312435517 13.966038   64647370999468160
055.32156005018 +22.66396366367 13.998938   64647542798158464
055.34529977308 +22.66970103979 13.146748   64647645877372032
055.35633619648 +22.68536357187 13.498174   64649157705858688
055.33315923461 +22.70702086160 13.564976   64649432583765120
055.29600863291 +22.74415535551 13.908699   64650532095391232
055.20412983340 +22.73183629477 13.676702   64660530779260928
